,문제,답변,문제풀이(피드백),대분류,중분류,참고
1,프록시 서버를 설명하고 사용 사례에 대해 설명해보세요.,"프록시 서버란 클라이언트가 자신을 통해서 다른 네트워크 서비스에 간접적으로 접 속할 수 있게 해 주는 서버를 말합니다. 주로 서버 앞단에 둬서 캐싱, 로깅, 데이터 분석을 서버보다 먼저 하는 서버로 쓰입니다. 이를 통해 포트 번호를 바꿔서 사용자 가 실제 서버의 포트에 접근하지 못하게 할 수 있으며, 공격자의 DDOS 공격을 차 단하거나 CDN을 프록시 서버로 캐싱할 수 있으며, nginx를 이용해 Node.js로 이루 어진 서버의 앞단에 둬서 버퍼 오버플로우를 해결할 수도 있습니다.",,,디자인 패턴과 프로그래밍 패러타임,<면접을 위한 CS 전공지식 노트>
2,옵저버 패턴을 어떻게 구현하나요?,여러 가지 방법이 있지만 프록시 객체를 써서 하곤 합니다. 프록시 객체를 통해 객체 의 속성이나 메서드 변화 등을 감지하고 이를 미리 설정해 놓은 옵저버들에게 전달 하는 방법으로 구현합니다.,,,디자인 패턴과 프로그래밍 패러타임,<면접을 위한 CS 전공지식 노트>
3,MVC 패턴을 설명하고 MVVM 패턴과의 차이는 무엇인지 설명해보세요.,"MVC 패턴은 모델(Mode), 뷰(View), 컨트롤러(Controller)로 이루어진 디자인 패 턴입니다. 앱의 구성 요소를 세 가지 역할로 구분하여 개발 프로세스에서 각각의 구 성 요소에만 집중해서 개발할 수 있다는 점과 재사용성과 확장성이 용이하다는 장점 이 있고, 애플리케이션이 복잡해질수록 모델과 뷰의 관계 또한 복잡해지는 단점이 있습니다.
MVVM 패턴은 MVC의 C에 해당하는 컨트롤러가 뷰모델(view model)로 바뀐 패턴 입니다. 여기서 뷰모델은 뷰를 더 추상화한 계층이며, MVVM 패턴은 MVC 패턴과 는 다르게 커맨드와 데이터 바인딩을 가지는 것이 특징입니다. 뷰와 뷰모델 사이의 양방향 데이터 바인딩을 지원하며 UI를 별도의 코드 수정 없이 재사용할 수 있고 단 위 테스팅하기 쉽다는 장점이 있습니다.",,,디자인 패턴과 프로그래밍 패러타임,<면접을 위한 CS 전공지식 노트>
4,OSI 7계층과 TCP/IP 4계층의 차이점은 무엇인가요?,"TCE IP 계층과 달리 OSI 계층은 애플리케이션 계층을 세 개로 쪼개고 링크 계층을 데이터 링크 제종, 물리 계층으로 나눠서 설명하는 것이 다르며, 인터넷 계층을 네트 워크 계층으로 부른다는 점이 다릅니다",,,디자인 패턴과 프로그래밍 패러타임,<면접을 위한 CS 전공지식 노트>
5,HTTP2를 설명하고 장점 두 가지를 말해주세요.,"HTTP/2는 HTTP/1.x보다 지연 시간을 줄이고 응답 시간을 더 빠르게 할 수 있으 며 멀티플렉싱, 헤더 압축, 서버 푸시, 요청의 우선순위 처리를 지원하는 프로토콜입 니다.
장점 두 가지로 멀티플렉싱과 서버 푸시를 들겠습니다.
멀티플렉싱이란 여러 개의 스트림을 사용하여 송수신한다는 것입니다. 이를 통해 특 정 스트림의 패킷이 손실되었다고 하더라도 해당 스트림에만 영향을 미치고 나머지 스트림은 멀쩡하게 동작할 수 있습니다.
서버 푸시란 HTTP/1.1에서는 클라이언트가 서버에 요청을 해야 파일을 다운로드 받을 수 있었다면, HTTP/2는 클라이언트 요청 없이 서버가 바로 리소스를 푸시하 는 것을 말합니다. html에는 css나 js 파일이 포함되기 마련인데 html을 읽으면서 그 안에 들어 있던 css 파일을 서버에서 푸시하여 클라이언트에 먼저 줄 수 있습니다.",,,디자인 패턴과 프로그래밍 패러타임,<면접을 위한 CS 전공지식 노트>
6,www.naver.com을 주소창에 입력하면 어떻게 될까요?,,,,디자인 패턴과 프로그래밍 패러타임,<면접을 위한 CS 전공지식 노트>
7,운영체제의 역할은 무엇인가요?,"운영체제의 역할은 크게 네 가지가 있습니다.
1. CPU 스케줄링과 프로세스 관리: CPU 소유권을 어떤 프로세스에 할당할지, 프로세스의 생성 과 삭제, 자원 할당 및 반환을 관리합니다.
2. 메모리 관리: 한정된 메모리를 어떤 프로세스에 얼마큼 할당해야 하는지 관리합니다.
3. 디스크 파일 관리: 디스크 파일을 어떠한 방법으로 보관할지 관리합니다.
4. 170 디바이스 관리: 1/0 디바이스들인 마우스, 키보드 등과 컴퓨터 간에 데이터를 주고받는 것을 관리합니다. 
SSD를 일컫으며 비휘발성, 속도",,,디자인 패턴과 프로그래밍 패러타임,<면접을 위한 CS 전공지식 노트>
8,PCB는 뭔가요?,"PCB(Process Control Block)는 운영체제에서 프로세스에 대한 메타데이터를 저장한
'데이터'를 말합니다. 프로세스 제어 블록이라고도 합니다. 프로세스가 생성되면 운 영체제는 해당 PCB를 생성합니다.
프로그램이 실행되면 프로세스가 생성되고 프로세스 주소 값들에 앞서 설명한 스택.
힙 등의 구조를 기반으로 메모리가 할당됩니다. 그리고 이 프로세스의 메타데이터들 이 PCB에 저장되어 관리됩니다. 이는 프로세스의 중요한 정보를 포함하고 있기 때 문에 일반 사용자가 접근하지 못하도록 커널 스택의 가장 앞부분에서 관리됩니다.",,,운영체제,<면접을 위한 CS 전공지식 노트>
9,메모리 계층에 대해 설명해보세요.,"메모리 계층은 레지스터, 캐시, 메모리, 저장장치로 구성되어 있습니다. 레지스터 는 CPU 안에 있는 작은 메모리, 휘발성, 속도 가장 빠름, 기억 용량이 가장 낮습니 다. 캐시로는 L1, L2 캐시를 지칭하며 휘발성, 속도 빠름, 기억 용량이 낮습니다. 참 고로 13 캐시도 있습니다. 주기억장치로는 RAM을 가리킵니다. 휘발성, 속도 보통, 기억 용량이 보통입니다. 보조기억장치로는 HDD, SSD를 일컫으며 비휘발성, 속도 낮음, 기억 용량이 높습니다.",,,운영체제,<면접을 위한 CS 전공지식 노트>
10,데이터베이스는 무엇인가요?,"데이터베이스(DB, DataBase)는 일정한 규칙, 혹은 규약을 통해 구조화되어 저장 되는 데이터의 모음입니다. 해당 데이터베이스를 제어, 관리하는 통합 시스템을 DBMS(DataBase Management System)라고 하며, 데이터베이스 안에 있는 데이터 들은 특정 DBMS마다 정의된 쿼리 언어(query language)를 통해 삽입, 삭제, 수정, 조회 등을 수행할 수 있습니다. 또한, 데이터베이스는 실시간 접근과 동시 공유가 가 능합니다.",,,데이터베이스,<면접을 위한 CS 전공지식 노트>
